review,rating,tokens,clean_text
"This game has a lot of potential, but doesn't use it well. It's a good game but needs to improve the npc design and animation. The playable characters is great, but some needed to be refined, old characters. 2D doesn't match 3D until early now. The cutscenes is amazing, storytelling is bad. Gacha system is not too bad, but the reward is a little too few. Again, npc's dialogue and movement feel a bit awkward. The world's building is great. Overall it's a great game but it's still needs something.",3,"['game', 'lot', 'potential', 'doesnt', 'use', 'well', 'good', 'game', 'need', 'improve', 'npc', 'design', 'animation', 'playable', 'character', 'great', 'needed', 'refined', 'old', 'character', 'doesnt', 'match', 'early', 'cutscenes', 'amazing', 'storytelling', 'bad', 'gacha', 'system', 'bad', 'reward', 'little', 'npc', 'dialogue', 'movement', 'feel', 'bit', 'awkward', 'world', 'building', 'great', 'overall', 'great', 'game', 'still', 'need', 'something']",game lot potential doesnt use well good game need improve npc design animation playable character great needed refined old character doesnt match early cutscenes amazing storytelling bad gacha system bad reward little npc dialogue movement feel bit awkward world building great overall great game still need something
The combat has become very boring. Newer bosses want you to kill them with only certain character. This certain character wants you to have his dedicated support if you don't want to lose a LOT of damages. The power balance is really messed up. Newer characters are very restrictive making it even more boring because you always want to play with the exact same team composition.,1,"['combat', 'become', 'boring', 'newer', 'boss', 'want', 'kill', 'certain', 'character', 'certain', 'character', 'want', 'dedicated', 'support', 'dont', 'want', 'lose', 'lot', 'damage', 'power', 'balance', 'really', 'messed', 'newer', 'character', 'restrictive', 'making', 'even', 'boring', 'always', 'want', 'play', 'exact', 'team', 'composition']",combat become boring newer boss want kill certain character certain character want dedicated support dont want lose lot damage power balance really messed newer character restrictive making even boring always want play exact team composition
"genuinely a good game if you're willing to put in the effort. since it's a gacha, it's obviously not going to respect your time if you plan to get strong. if you have the option though, I'd recommend playing on the computer, though that may be personal preference. to be honest, since I last played it did start feeling a little annoying going through the story, though that might've been the result of burnout rather than poor writing.",3,"['genuinely', 'good', 'game', 'youre', 'willing', 'put', 'effort', 'since', 'gacha', 'obviously', 'going', 'respect', 'time', 'plan', 'get', 'strong', 'option', 'though', 'recommend', 'playing', 'computer', 'though', 'may', 'personal', 'preference', 'honest', 'since', 'last', 'played', 'start', 'feeling', 'little', 'annoying', 'going', 'story', 'though', 'mightve', 'result', 'burnout', 'rather', 'poor', 'writing']",genuinely good game youre willing put effort since gacha obviously going respect time plan get strong option though recommend playing computer though may personal preference honest since last played start feeling little annoying going story though mightve result burnout rather poor writing
"Og a potato PC player since 2.3 but shifted to mobile d/t convenience but this game still works on a decade old machine! Likewise with my mid phone. Aside from device optimization, GI has plenty of things to get lost into as a newbie, and a game that screams comfort to older players. The gacha may be a hit or a miss but if you're funmaxxing, then the experience is worth trying 🐑 Great exploration and lore that can only go up from this point forward",5,"['potato', 'player', 'since', 'shifted', 'mobile', 'convenience', 'game', 'still', 'work', 'decade', 'old', 'machine', 'likewise', 'mid', 'phone', 'aside', 'device', 'optimization', 'plenty', 'thing', 'get', 'lost', 'newbie', 'game', 'scream', 'comfort', 'older', 'player', 'gacha', 'may', 'hit', 'miss', 'youre', 'funmaxxing', 'experience', 'worth', 'trying', 'great', 'exploration', 'lore', 'point', 'forward']",potato player since shifted mobile convenience game still work decade old machine likewise mid phone aside device optimization plenty thing get lost newbie game scream comfort older player gacha may hit miss youre funmaxxing experience worth trying great exploration lore point forward
"Avoiding the Fandom, the game is actually pretty good. the graphics looks great, the characters may have fanservice but there's characters with many great designs and lore. It also has a very straightforward gameplay, no complicated stuff which is fine by me. Though the game forces us to ""listen"" through the worthless dialouge and with no skip button. The game is also very grindy and have many new 5 star characters dependent on other 5 stars. Overall, good gacha game but has many flaws",4,"['avoiding', 'fandom', 'game', 'actually', 'pretty', 'good', 'graphic', 'look', 'great', 'character', 'may', 'fanservice', 'there', 'character', 'many', 'great', 'design', 'lore', 'also', 'straightforward', 'gameplay', 'complicated', 'stuff', 'fine', 'though', 'game', 'force', 'listen', 'worthless', 'dialouge', 'skip', 'button', 'game', 'also', 'grindy', 'many', 'new', 'star', 'character', 'dependent', 'star', 'overall', 'good', 'gacha', 'game', 'many', 'flaw']",avoiding fandom game actually pretty good graphic look great character may fanservice there character many great design lore also straightforward gameplay complicated stuff fine though game force listen worthless dialouge skip button game also grindy many new star character dependent star overall good gacha game many flaw
"Gatcha aside, this game is amazing. Open world with plenty of fun things to do and discover. The storyline is fantastic with exciting and emotional parts, some side quests can be boring but you can skip dialogue. been playing for about a month now and never HAD to spend any money, but did anyway just because I love it. Definitely recommend",5,"['gatcha', 'aside', 'game', 'amazing', 'open', 'world', 'plenty', 'fun', 'thing', 'discover', 'storyline', 'fantastic', 'exciting', 'emotional', 'part', 'side', 'quest', 'boring', 'skip', 'dialogue', 'playing', 'month', 'never', 'spend', 'money', 'anyway', 'love', 'definitely', 'recommend']",gatcha aside game amazing open world plenty fun thing discover storyline fantastic exciting emotional part side quest boring skip dialogue playing month never spend money anyway love definitely recommend
"i love playing this game, especially its immersive storytelling and lore! But the main problem is this game is really laggy for my device. My device is quite a new model and has around 128 GB memory. Even though my phone still has lots of memories, the game is still super laggy even with the lowest graphic! Because of this I don't enjoy playing this game at all, imagine having to lag every second in this game, freeze my screen, and close because it's too laggy! please fix this so I can enjoy it!",1,"['love', 'playing', 'game', 'especially', 'immersive', 'storytelling', 'lore', 'main', 'problem', 'game', 'really', 'laggy', 'device', 'device', 'quite', 'new', 'model', 'around', 'memory', 'even', 'though', 'phone', 'still', 'lot', 'memory', 'game', 'still', 'super', 'laggy', 'even', 'lowest', 'graphic', 'dont', 'enjoy', 'playing', 'game', 'imagine', 'lag', 'every', 'second', 'game', 'freeze', 'screen', 'close', 'laggy', 'please', 'fix', 'enjoy']",love playing game especially immersive storytelling lore main problem game really laggy device device quite new model around memory even though phone still lot memory game still super laggy even lowest graphic dont enjoy playing game imagine lag every second game freeze screen close laggy please fix enjoy
"The game is fundamentally one of the strongest in gaming history right now, but all of that falls flat because the game feels less like a game now but more of a visual novel. The game offers less and less rewards but is driving the story with refined and honed story telling, but it doesn't offset the amount of missing or just non-existent rewards you get for ""playing"" the game. ""Open-World Exploration""? Nowadays we get 10 updates to Milliastra and maybe 1 update to the so-called ""Open World""",1,"['game', 'fundamentally', 'one', 'strongest', 'gaming', 'history', 'right', 'fall', 'flat', 'game', 'feel', 'less', 'like', 'game', 'visual', 'novel', 'game', 'offer', 'less', 'less', 'reward', 'driving', 'story', 'refined', 'honed', 'story', 'telling', 'doesnt', 'offset', 'amount', 'missing', 'nonexistent', 'reward', 'get', 'playing', 'game', 'openworld', 'exploration', 'nowadays', 'get', 'update', 'milliastra', 'maybe', 'update', 'socalled', 'open', 'world']",game fundamentally one strongest gaming history right fall flat game feel less like game visual novel game offer less less reward driving story refined honed story telling doesnt offset amount missing nonexistent reward get playing game openworld exploration nowadays get update milliastra maybe update socalled open world
"I love this game, it's fun and interesting. I've been playing for a few years now, and it's been a great experience. But recently, I've switched to a newer device and I found a few problems with the audio. Whenever I go into combat with more than one enemy, the SFX disappear until after I finish fighting the enemies. This includes skill sounds, hit sounds, claiming rewards, etc - making the experience less fun. Everything else runs smoothly, it's just the audio having problems.",4,"['love', 'game', 'fun', 'interesting', 'ive', 'playing', 'year', 'great', 'experience', 'recently', 'ive', 'switched', 'newer', 'device', 'found', 'problem', 'audio', 'whenever', 'combat', 'one', 'enemy', 'sfx', 'disappear', 'finish', 'fighting', 'enemy', 'includes', 'skill', 'sound', 'hit', 'sound', 'claiming', 'reward', 'etc', 'making', 'experience', 'less', 'fun', 'everything', 'else', 'run', 'smoothly', 'audio', 'problem']",love game fun interesting ive playing year great experience recently ive switched newer device found problem audio whenever combat one enemy sfx disappear finish fighting enemy includes skill sound hit sound claiming reward etc making experience less fun everything else run smoothly audio problem
"This game is MASSIVE and is ever growing. The lore and gameplay are incredible, super captivating! This is a game that you could spend a lot of money on, but you by no means have to. I've been playing for almost a year now and am still not caught up (granted, I have a full time job and a part time, so I can't no-life this game nearly as much as I want). Between story quests, archon quests, world quests, character quest lines, and so much more, you'll never run out of things to do. 10000/10",5,"['game', 'massive', 'ever', 'growing', 'lore', 'gameplay', 'incredible', 'super', 'captivating', 'game', 'could', 'spend', 'lot', 'money', 'mean', 'ive', 'playing', 'almost', 'year', 'still', 'caught', 'granted', 'full', 'time', 'job', 'part', 'time', 'cant', 'nolife', 'game', 'nearly', 'much', 'want', 'story', 'quest', 'archon', 'quest', 'world', 'quest', 'character', 'quest', 'line', 'much', 'youll', 'never', 'run', 'thing']",game massive ever growing lore gameplay incredible super captivating game could spend lot money mean ive playing almost year still caught granted full time job part time cant nolife game nearly much want story quest archon quest world quest character quest line much youll never run thing
